Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,Precision_Normal,Recall_Normal,Precision_Conservative,Recall_Conservative,Precision_Spirited,Recall_Spirited
MLP,0.6915,0.7194,0.6915,0.6875,0.6532,0.7806,0.8352,0.5365,0.6226,0.8202
Soft Voting Ensemble,0.6875,0.719,0.6875,0.6849,0.6425,0.7835,0.8498,0.5422,0.6132,0.7837
SVM,0.6602,0.6899,0.6602,0.6615,0.6455,0.7236,0.8146,0.5594,0.5327,0.7331
Random Forest,0.6386,0.6712,0.6386,0.6388,0.622,0.7407,0.804,0.5222,0.5075,0.6657
KNN,0.6323,0.6495,0.6323,0.631,0.5946,0.7521,0.7559,0.5536,0.549,0.5506
XGBoost,0.6158,0.6709,0.6158,0.6193,0.6402,0.6895,0.8197,0.4878,0.4393,0.7219
Gaussian NB,0.5555,0.6256,0.5555,0.5337,0.5008,0.8476,0.8,0.3376,0.5292,0.4073
